LOC_ID,LOC_NAME,AUSPICE,InfantSpace,ToddlerSpace,PreschoolSpace,KindergartenSpace,SchoolAgeSpace
1374,Palisades Centre For Early Learning,Commercial,20,15,48,24,30
1379,Davisville Care Programme Inc.,Non-Profit,10,20,40,104,150
1381,Centro Clinton Day Care Centre,Non-Profit,0,20,48,52,77
1383,Kimbercroft Day Nursery 2,Commercial,0,0,48,0,30
1391,Progress Childcare (Scarborough Inc. #1 (3 Glamorgan),Non-Profit,10,10,48,22,0
1395,Tamarack Day Care Centre (765566 Ontario Inc),Commercial,0,25,48,24,45
1396,Mothercraft: Robertson House (32 Heath Street West),Non-Profit,10,25,24,0,0
1402,Mother Of Compassion Child Care,Non-Profit,10,15,24,0,0
1413,Albion Early Learning  & Child Care Centre,Public (City Operated) Agency,10,20,24,0,0
1414,Centennial College East York Day Care (Plains Rd),Non-Profit,0,0,0,26,30
1420,Cast For Kids Child Care Centre,Non-Profit,10,15,24,26,45
1425,Vradenburg Community Child Care Centre,Non-Profit,10,15,24,26,30
1426,Educare Kindergarten - Islington,Commercial,0,10,32,18,30
1430,N.Y.A.D. Donwood Inc,Non-Profit,0,10,16,26,15
1434,Champions Children's Centre,Non-Profit,0,0,16,26,60
1439,Wexford Community Childcare Centre,Non-Profit,10,15,16,26,30
1440,Petit Pearson Child Care,Non-Profit,0,15,24,52,60
1445,Children Are People Education,Non-Profit,20,55,56,0,0
1448,Rainbow Village Childcare Centre (Mid-Scarborough Child Care),Non-Profit,6,25,56,13,30
1452,Cambridge Place Centre For Early Learning,Commercial,10,15,48,20,0
1453,Downtown Montessori At Coatsworth (Formerly Ward Nine -Coatsworth),Non-Profit,10,15,32,0,0
1454,Dunloe Children's Centre,Non-Profit,0,0,56,0,30
1458,Enriched Child Care Learning Centre,Commercial,0,10,24,0,0
1460,Children's Village Day Care Centre #3,Commercial,10,15,24,16,40
1462,Howard Park Children's Centre,Non-Profit,0,0,0,65,120
1466,Heart Beatz Child Care - Cliffcrest Site,Non-Profit,10,20,24,0,0
1467,Earl Haig Community Day Care (15 Earl Haig Avenue),Non-Profit,10,15,46,65,120
1477,Yonge Hearts Child Care Centre,Non-Profit,20,30,64,0,0
1482,East Toronto Village Children's Centre,Non-Profit,0,20,32,0,0
1484,Phoenix Child Centre,Non-Profit,0,0,30,52,30
1486,Scarborough Village Day Nursery 1,Commercial,6,15,24,13,15
1488,Esterbrooke Child Care,Commercial,0,0,24,10,20
1491,Les Bouts D'Choux,Non-Profit,10,10,40,26,45
1495,Pleasant Child Care Of North York,Non-Profit,0,10,24,26,45
1496,Main Square Day Care Centre,Non-Profit,0,15,24,0,26
1498,McMurrich Sprouts,Non-Profit,10,15,40,52,60
1500,Faywood Boulevard Child Care Centre,Non-Profit,0,0,24,52,80
1504,Fenside Drive Children's Centre,Non-Profit,0,15,48,39,75
1507,Cougar Court Child Care Centre 25,Commercial,0,0,16,0,60
1509,Scarborough Village Day Nursery 2,Commercial,0,0,16,0,15
1520,Birds And Bees Day Care Centre,Commercial,0,15,40,0,30
1521,Cliffwood Community Child Care,Non-Profit,0,15,24,39,50
1522,Finch Flyers Child Care Program,Non-Profit,0,10,24,52,60
1525,Hilltop Daycare Centre,Non-Profit,10,15,32,0,15
1529,George Brown - Fashion District/Ryerson Child Care Centre,Non-Profit,0,0,0,26,30
1531,Today's Child Tomorrow's Future Children's Centre (290 Blantyre),Non-Profit,0,0,32,39,45
1533,John A. Leslie Childcare - Scarborough,Non-Profit,0,15,24,26,30
1536,Dalemount Child Care,Non-Profit,0,0,32,26,55
1538,Kenlinton Child Care Centre (Operator: Stonehill) Facility #16008,Commercial,0,0,32,0,30
1539,Friends Day Care Centre,Non-Profit,0,0,16,0,0
1544,Kennedy Road Kiddy Kare - (Kennedy Road Church Of The Nazarene),Non-Profit,0,10,24,0,30
1547,Today's Child Tomorrow's Future Children's Centre,Non-Profit,0,15,18,26,23
1548,Gan Yeladim Day Care Centre,Non-Profit,0,15,32,10,0
1551,Don Valley Christian Child Care,Non-Profit,10,15,24,0,0
1554,Pride In Heritage Children's Centre,Non-Profit,0,10,24,52,75
1559,St. Michael And All Angels Day Care Centre,Non-Profit,10,15,40,0,0
1562,Gateway Day Care Centre,Commercial,10,10,24,0,12
1566,Glen Cameron For Kids,Non-Profit,0,0,16,26,68
1567,Downsview Child Care Centre,Non-Profit,10,20,24,0,0
1570,Ranchdale Rompers Day Care,Non-Profit,0,10,24,26,60
1577,Playhouse Child Care Centre,Non-Profit,10,10,32,26,0
1578,Rejoyce Caledon Community Child Care,Non-Profit,0,0,20,39,45
1580,Garderie La Farandole Gabrielle Roy,Non-Profit,10,10,32,52,45
1585,West Prep Children's Centre Of Toronto,Non-Profit,0,15,32,52,60
1588,Greenland Recreational After School Program,Non-Profit,0,0,0,0,45
1589,Dublin Heights Community Child Care,Non-Profit,0,10,24,52,80
1593,Garrison Creek Community Day Care,Non-Profit,0,15,16,52,65
1598,Rippleton Roadsters Child Care Program,Non-Profit,0,0,48,52,90
1601,Gulfstream Day Care Centre,Non-Profit,10,15,24,26,60
1603,Highview Wilson Child Care,Non-Profit,0,0,16,26,45
1605,Hillmount Child Care,Non-Profit,0,0,24,26,30
1607,Hollywood All Stars Child Care,Non-Profit,0,0,16,39,75
1613,John Ross Robertson Child Centre,Non-Profit,0,0,40,52,120
1614,Kew Beach Day Care Co-Op Inc.,Non-Profit,0,0,40,52,74
1617,Givins/Shaw School Community Day Care,Non-Profit,0,0,24,52,45
1618,Roywood Child Care North York,Non-Profit,0,0,24,26,45
1619,Wilmington Best Child Care Centre,Non-Profit,0,0,24,78,54
1624,Junction Day Care Centre,Non-Profit,0,0,32,78,90
1625,Gledhill Avenue Child Care Centre,Non-Profit,0,0,24,52,60
1629,Kids Haven Community Child Care,Non-Profit,0,10,32,13,30
1630,Kids Korner Day Care,Non-Profit,0,0,24,0,0
1633,York University Co-Operative Day Care Centre,Non-Profit,20,35,79,0,15
1635,Hawthorne-On-Essex Day Care,Non-Profit,0,15,32,52,70
1636,Keelmount Daycare Centre,Non-Profit,0,10,24,52,90
1643,Le Petit Chaperon Rouge - Gainsborough,Non-Profit,0,0,16,48,77
1644,Kindercircle Day Care,Non-Profit,10,15,0,0,0
1645,Kensington Kids Early Learning Centre,Non-Profit,10,15,48,26,0
1651,Lawrence Heights Community Day Care Centre,Non-Profit,10,20,24,39,45
